"barcode","vendor","title","price"
"1621669","Fifth Third Bancorp","Check Disbursements","1350828.32"
"596901","Northern Trust","Reference Accounts","2343965.17"
"4895696","Northern Trust","Commercial Cards","1788930.69"
"2467044","Bank of New York Mellon","Payments Fraud Prevention","662583.97"
"1708185","ING Group","U.S. Dollar Clearing - Asia Direct","4341613.61"
"2673088","Wells Fargo","U.S. Dollar Clearing - Asia Direct","3903043.96"
"3242803","JP Morgan Chase & Co.","Electronic Payables","469155.41"
"2850326","Citigroup","Automated Clearing House (ACH)","4806248.63"
"556838","ING Group","Electronic Payables","3411916.33"
"1278486","Royal Bank of Scotland","Reference Accounts","4422814.44"
"3102273","BB&T Corporation","U.S. Dollar Clearing - Asia Direct","4191965.41"
"2560111","Capital One Financial","Commercial Cards","812292.57"
"4737841","Citigroup","Debit Cards","2912582.42"
"3109900","Bank of New York Mellon","Order-to-Pay","2027954.37"
"2687265","Fifth Third Bancorp","Cross-Currency Payment Services","4444308.40"
"845011","KeyCorp","Electronic Payables","3594737.52"
"3005399","Royal Bank of Scotland","Commercial Cards","1730955.20"
"3372261","State Street Corp.","Commercial Cards","4998972.24"
"379149","Bank of New York Mellon","Healthcare Link for Payers","2441916.90"
"4069692","Bank of America ","U.S. Dollar Clearing - Asia Direct","563629.54"
"4123539","HSBC Holdings","Order-to-Pay","1818283.94"
"4660967","Regions Financial","U.S. Dollar Clearing - Asia Direct","4071483.12"
"596016","Fifth Third Bancorp","Automated Clearing House (ACH)","1752420.82"
"4746245","BB&T Corporation","Reference Accounts","4191125.36"
"2001721","State Street Corp.","Payments Fraud Prevention","3629768.99"
"4347665","Northern Trust","Healthcare Link for Payers","507712.80"
"4426650","Bank of Montreal","U.S. Dollar Clearing - Asia Direct","4054544.85"
"2805165","Royal Bank of Scotland","Commercial Cards","3224305.70"
"3314338","Wells Fargo","Debit Cards","3882719.81"
"1979209","Royal Bank of Scotland","Order-to-Pay","3683146.72"
"1459832","JP Morgan Chase & Co.","U.S. Dollar Clearing - Asia Direct","2674364.34"
"1784509","Bank of America ","Commercial Cards","2276767.31"
"539181","Bank of New York Mellon","Electronic Payables","996564.57"
"1510598","State Street Corp.","Healthcare Link for Payers","4281532.93"
"1938394","Fifth Third Bancorp","Cross-Currency Payment Services","1574481.08"
"3699016","Royal Bank of Scotland","Self-Serve Inquiry and Resolution Management","3169129.06"
"4349711","Citigroup","Debit Cards","4901939.70"
"584591","Fifth Third Bancorp","Payments Fraud Prevention","850731.47"
"593196","Bank of New York Mellon","Commercial Cards","4258217.89"
"1273043","Bank of America ","Reference Accounts","745601.43"
"4845884","HSBC Holdings","Cross-Currency Payment Services","3459747.94"
"620173","Regions Financial","Commercial Cards","2007208.12"
"1044395","Bank of Montreal","Order-to-Pay","1669306.58"
"1936612","KeyCorp","Self-Serve Inquiry and Resolution Management","3127496.49"
"4301756","U.S. Bancorp","Automated Clearing House (ACH)","1472972.83"
"2814190","State Street Corp.","Healthcare Link for Payers","62759.92"
"1809653","Regions Financial","Electronic Payables","3838149.32"
"86861","U.S. Bancorp","Debit Cards","4824578.75"
"547121","PNC Financial Services Group","Commercial Cards","723937.11"
"3878084","Bank of America ","Check Disbursements","659148.14"
"824407","HSBC Holdings","Check Disbursements","1858986.05"
"4785866","Bank of New York Mellon","Order-to-Pay","1699924.25"
"177766","Wells Fargo","Electronic Payables","1856402.33"
"41958","Bank of America ","Cross-Currency Payment Services","2924196.70"
"3854929","Bank of Montreal","Self-Serve Inquiry and Resolution Management","1545215.30"
"728038","BB&T Corporation","Healthcare Link for Payers","1770451.92"
"299712","Bank of Montreal","Healthcare Link for Payers","1328253.97"
"692694","Bank of Montreal","Automated Clearing House (ACH)","1018391.45"
"326950","Capital One Financial","U.S. Dollar Clearing - Asia Direct","1534802.41"
"2986813","JP Morgan Chase & Co.","Check Disbursements","2321444.62"
"2588751","Northern Trust","Healthcare Link for Payers","1688121.64"
"339832","Citigroup","Commercial Cards","3287092.89"
"4720791","Fifth Third Bancorp","Payments Fraud Prevention","1255690.56"
"2283691","Northern Trust","Self-Serve Inquiry and Resolution Management","2076294.37"
"1573743","BB&T Corporation","U.S. Dollar Clearing - Asia Direct","1962717.66"
"3015814","Citigroup","Commercial Cards","1331507.38"
"2769256","ING Group","Electronic Payables","1828826.25"
"3650696","Regions Financial","Reference Accounts","3081436.03"
"472746","BB&T Corporation","Reference Accounts","1754270.90"
"4069530","Capital One Financial","Self-Serve Inquiry and Resolution Management","1916647.73"
"3729287","Regions Financial","Commercial Cards","2323174.86"
"1126119","State Street Corp.","Healthcare Link for Payers","4211908.59"
"429965","ING Group","Self-Serve Inquiry and Resolution Management","2631207.37"
"3137695","Citigroup","Self-Serve Inquiry and Resolution Management","2790822.33"
"4452458","Capital One Financial","Debit Cards","3282789.63"
"1956722","U.S. Bancorp","Debit Cards","931466.46"
"3531469","Capital One Financial","Reference Accounts","594370.43"
"3313797","State Street Corp.","Healthcare Link for Payers","3845177.19"
"4396951","Bank of Montreal","Reference Accounts","4412988.44"
"3696992","BB&T Corporation","Check Disbursements","3835133.61"
"4486617","Bank of Montreal","Electronic Payables","4525721.57"
"1526265","Wells Fargo","Payments Fraud Prevention","3329187.55"
"2078601","Northern Trust","Debit Cards","1709975.27"
"447403","BB&T Corporation","Payments Fraud Prevention","4149452.00"
"4984526","HSBC Holdings","Reference Accounts","594795.12"
"3818048","KeyCorp","Automated Clearing House (ACH)","2194399.12"
"3748522","Royal Bank of Scotland","Order-to-Pay","675398.18"
"386651","Citigroup","Reference Accounts","3725814.80"
"1502538","BB&T Corporation","Debit Cards","1158452.96"
"2588499","Bank of America ","U.S. Dollar Clearing - Asia Direct","1381828.97"
"2328672","Citigroup","Payments Fraud Prevention","3883000.18"
"515676","Capital One Financial","Healthcare Link for Payers","910868.81"
"4063063","Toronto-Dominion Bank","U.S. Dollar Clearing - Asia Direct","2305888.03"
"1506411","KeyCorp","Payments Fraud Prevention","4695014.15"
"83308","PNC Financial Services Group","Reference Accounts","4412274.20"
"4212681","Bank of America ","Automated Clearing House (ACH)","2310826.23"
"4925988","SunTrust Bank","Healthcare Link for Payers","3937186.39"
"1661598","ING Group","U.S. Dollar Clearing - Asia Direct","1724883.27"
"215644","Bank of New York Mellon","Self-Serve Inquiry and Resolution Management","3014035.13"
"1312936","Bank of Montreal","Electronic Payables","1993483.95"
"3432556","ING Group","Self-Serve Inquiry and Resolution Management","4127580.37"
"4008088","Bank of New York Mellon","Cross-Currency Payment Services","4497567.45"
"2226680","Wells Fargo","Self-Serve Inquiry and Resolution Management","2841052.05"
"4576292","SunTrust Bank","Healthcare Link for Payers","3683988.95"
"2122967","Northern Trust","Reference Accounts","4764457.39"
"2848244","U.S. Bancorp","Cross-Currency Payment Services","4400782.07"
"4365058","State Street Corp.","Check Disbursements","386756.62"
"4583009","KeyCorp","Automated Clearing House (ACH)","83115.35"
"4582948","PNC Financial Services Group","Self-Serve Inquiry and Resolution Management","695568.48"
"4222023","KeyCorp","Commercial Cards","4190408.93"
